Reviews
241
60
112
4
3
2
84
191

1.406
230
37
43
102
128
49
8
108
1
9


10
575
6

5
3.507
174
73

6
7



1
1
3
448
40
287
29

26
60

35
139
147
892
149

636
65
347
125
224
245
31
47
66
567
193
908
79


2
5
116

192


1.000
296
75
9
116
1

374
10


92


173
4
8

80
34
97
69
150
238
1
208
84


62
947
293

33

38
128

62
243
87
445
106
136
525
55

188
214
76
91
339
1.522
421
191
118
959
98
173
50
425
180
22
71
234
8
46
28
31
22
892
1.364

15
106
1.620
517
511
1.686
192
3
332
138
1.188
595
683
827
11.603

2
35
119
1
146
1
238
1.294
1.405
1
241
38
20
27


44
468

1
29
12
8


6


67
10
1


4

1
1
50
14
5
236
23


24
535


16
58
4.504
35.321

1.090
380
9
3.130
42
6
1.461
76

12
5
6
10
355
44
115
33

5
1

5
2
4
8
9
2
5

6
1
2
3

5
448
1
73



1
1








97
7
3

3
44
67
9

116
59
121
23
112

116
48

116
251
133
22
150
62
84
1
50
65
34
38
50
31

33
6
445
188

7
39
25
2.824
4
354
226
119

117
146
25
84
116
476

254
34
25
260
31
514
55
977
235
657
573
687
6
9
684
562
470
4
2.063
214
192
72
1.188
105
226
385
35
319
1.538
201
146

1.042
16
36


3

39
9
8.180
243
354
5.968
44
4
3

1
45
12
1

1
8
1
2
196.399

3
3.703
180
134
44
4
175
291
201
211
402
354
1.686
7
565
35

588
14
88

6.704
5
9

12
43
148
19

3
25
16
56
1
107

7
18
299
32

1




66
237
312

31

163

60
17
5
6.373

14

8
2.467
2
195



220
5
299
183
292


27
254

5
230






1

263
138


1
466
53

1.043
12
168

8
42

657
648
235
44
470

1.706
2.401
1.181
205
2.374
562
2.374
287
